OtuA	OtuB	Correlation
OTU_97.10268	OTU_97.1027	1
OTU_97.10269	OTU_97.10270	1
OTU_97.10268	OTU_97.10271	1
OTU_97.1027	OTU_97.10271	1
OTU_97.10269	OTU_97.10272	1
OTU_97.10270	OTU_97.10272	1
OTU_97.10322	OTU_97.10324	1
OTU_97.10321	OTU_97.10325	1
OTU_97.10269	OTU_97.10271	0.999
OTU_97.10270	OTU_97.10271	0.999
OTU_97.10271	OTU_97.10272	0.999
OTU_97.10320	OTU_97.10322	0.999
OTU_97.10321	OTU_97.10323	0.999
OTU_97.10320	OTU_97.10324	0.999
OTU_97.10323	OTU_97.10325	0.999
OTU_97.10269	OTU_97.10342	0.999
OTU_97.10270	OTU_97.10342	0.999
OTU_97.10271	OTU_97.10342	0.999
OTU_97.10272	OTU_97.10342	0.999
OTU_97.10423	OTU_97.10424	0.999
OTU_97.10268	OTU_97.10269	0.998
OTU_97.10269	OTU_97.1027	0.998
OTU_97.10268	OTU_97.10270	0.998
OTU_97.1027	OTU_97.10270	0.998
OTU_97.10268	OTU_97.10272	0.998
OTU_97.1027	OTU_97.10272	0.998
OTU_97.10215	OTU_97.10216	0.997
OTU_97.10268	OTU_97.10320	0.997
OTU_97.10268	OTU_97.10322	0.997
OTU_97.10268	OTU_97.10324	0.997
OTU_97.10268	OTU_97.10342	0.997
OTU_97.1027	OTU_97.10342	0.997
OTU_97.1027	OTU_97.10320	0.996
OTU_97.10271	OTU_97.10320	0.996
OTU_97.1027	OTU_97.10322	0.996
OTU_97.10271	OTU_97.10322	0.996
OTU_97.1027	OTU_97.10324	0.996
OTU_97.10271	OTU_97.10324	0.996
OTU_97.10269	OTU_97.10324	0.994
OTU_97.10270	OTU_97.10324	0.994
OTU_97.10272	OTU_97.10324	0.994
OTU_97.10269	OTU_97.10320	0.993
OTU_97.10270	OTU_97.10320	0.993
OTU_97.10272	OTU_97.10320	0.993
OTU_97.10269	OTU_97.10322	0.993
OTU_97.10270	OTU_97.10322	0.993
OTU_97.10272	OTU_97.10322	0.993
OTU_97.10324	OTU_97.10342	0.993
OTU_97.10174	OTU_97.10175	0.992
OTU_97.10213	OTU_97.10214	0.992
OTU_97.10163	OTU_97.10164	0.991
OTU_97.10320	OTU_97.10342	0.991
OTU_97.10322	OTU_97.10342	0.991
OTU_97.10438	OTU_97.10439	0.989
OTU_97.10408	OTU_97.10409	0.988
OTU_97.10422	OTU_97.10423	0.988
OTU_97.10422	OTU_97.10424	0.988
OTU_97.1002	OTU_97.10020	0.986
OTU_97.10085	OTU_97.10086	0.982
OTU_97.10216	OTU_97.10272	0.982
OTU_97.10456	OTU_97.10457	0.982
OTU_97.10216	OTU_97.10270	0.981
OTU_97.10216	OTU_97.10269	0.98
OTU_97.10437	OTU_97.10439	0.979
OTU_97.10216	OTU_97.10268	0.978
OTU_97.10216	OTU_97.10271	0.978
OTU_97.10215	OTU_97.10272	0.978
OTU_97.10216	OTU_97.10342	0.978
OTU_97.10011	OTU_97.10015	0.977
OTU_97.10187	OTU_97.10188	0.977
OTU_97.10215	OTU_97.10269	0.977
OTU_97.10216	OTU_97.1027	0.977
OTU_97.10215	OTU_97.10270	0.977
OTU_97.10211	OTU_97.10212	0.976
OTU_97.10215	OTU_97.10268	0.975
OTU_97.10215	OTU_97.10342	0.975
OTU_97.10215	OTU_97.1027	0.974
OTU_97.10215	OTU_97.10271	0.974
OTU_97.10216	OTU_97.10324	0.974
OTU_97.10118	OTU_97.1012	0.973
OTU_97.10216	OTU_97.10322	0.973
OTU_97.10215	OTU_97.10324	0.973
OTU_97.10284	OTU_97.10286	0.972
OTU_97.10216	OTU_97.10320	0.972
OTU_97.10215	OTU_97.10320	0.971
OTU_97.10215	OTU_97.10322	0.971
OTU_97.10437	OTU_97.10438	0.971
OTU_97.10050	OTU_97.10051	0.97
OTU_97.10165	OTU_97.10166	0.969
OTU_97.10354	OTU_97.10356	0.963
OTU_97.10040	OTU_97.10041	0.962
OTU_97.10189	OTU_97.10190	0.962
OTU_97.10080	OTU_97.10081	0.961
OTU_97.10409	OTU_97.1041	0.961
OTU_97.10240	OTU_97.10241	0.958
OTU_97.10396	OTU_97.10397	0.956
OTU_97.10047	OTU_97.10048	0.954
OTU_97.10253	OTU_97.10363	0.954
OTU_97.10385	OTU_97.10396	0.954
OTU_97.10408	OTU_97.1041	0.954
OTU_97.10183	OTU_97.10188	0.95
OTU_97.10213	OTU_97.10215	0.95
OTU_97.10004	OTU_97.10011	0.949
OTU_97.10183	OTU_97.10187	0.948
OTU_97.10285	OTU_97.10288	0.948
OTU_97.10183	OTU_97.10184	0.946
OTU_97.10004	OTU_97.10015	0.943
OTU_97.1010	OTU_97.10101	0.943
OTU_97.10213	OTU_97.10216	0.939
OTU_97.10152	OTU_97.10154	0.937
OTU_97.10360	OTU_97.10365	0.937
OTU_97.10447	OTU_97.10448	0.936
OTU_97.10255	OTU_97.10320	0.934
OTU_97.10255	OTU_97.10322	0.934
OTU_97.10255	OTU_97.10324	0.934
OTU_97.10240	OTU_97.10273	0.932
OTU_97.10183	OTU_97.10355	0.931
OTU_97.1023	OTU_97.10230	0.93
OTU_97.10255	OTU_97.10268	0.93
OTU_97.10241	OTU_97.10273	0.93
OTU_97.10285	OTU_97.10287	0.93
OTU_97.10153	OTU_97.10155	0.929
OTU_97.10214	OTU_97.10215	0.929
OTU_97.10255	OTU_97.1027	0.929
OTU_97.10255	OTU_97.10271	0.929
OTU_97.10167	OTU_97.10168	0.926
OTU_97.10255	OTU_97.10272	0.926
OTU_97.10255	OTU_97.10269	0.925
OTU_97.10255	OTU_97.10270	0.925
OTU_97.10385	OTU_97.10397	0.925
OTU_97.10080	OTU_97.10187	0.924
OTU_97.10255	OTU_97.10342	0.924
OTU_97.10045	OTU_97.10046	0.923
OTU_97.1031	OTU_97.10311	0.922
OTU_97.10214	OTU_97.10216	0.921
OTU_97.10184	OTU_97.10187	0.92
OTU_97.10215	OTU_97.10408	0.92
OTU_97.10427	OTU_97.10430	0.92
OTU_97.10213	OTU_97.10269	0.919
OTU_97.10081	OTU_97.10187	0.918
OTU_97.10184	OTU_97.10188	0.918
OTU_97.10213	OTU_97.10272	0.918
OTU_97.10081	OTU_97.10368	0.918
OTU_97.10213	OTU_97.10270	0.917
OTU_97.10336	OTU_97.10337	0.917
OTU_97.10420	OTU_97.10434	0.917
OTU_97.10213	OTU_97.10268	0.916
OTU_97.10213	OTU_97.1027	0.916
OTU_97.10284	OTU_97.10285	0.916
OTU_97.10286	OTU_97.10287	0.915
OTU_97.10213	OTU_97.10342	0.915
OTU_97.102	OTU_97.10200	0.914
OTU_97.10213	OTU_97.10271	0.914
OTU_97.10011	OTU_97.10052	0.913
OTU_97.10213	OTU_97.10324	0.912
OTU_97.10083	OTU_97.10436	0.912
OTU_97.10081	OTU_97.10188	0.911
OTU_97.10284	OTU_97.10289	0.911
OTU_97.10213	OTU_97.10320	0.911
OTU_97.10430	OTU_97.10431	0.911
OTU_97.10213	OTU_97.10322	0.91
OTU_97.10167	OTU_97.10169	0.909
OTU_97.10080	OTU_97.10188	0.909
OTU_97.10216	OTU_97.10255	0.908
OTU_97.10188	OTU_97.10355	0.908
OTU_97.10215	OTU_97.10255	0.907
OTU_97.10241	OTU_97.10276	0.907
OTU_97.10024	OTU_97.10028	0.906
OTU_97.10245	OTU_97.10247	0.906
OTU_97.10284	OTU_97.10287	0.906
OTU_97.10286	OTU_97.10289	0.905
OTU_97.10313	OTU_97.10316	0.905
OTU_97.10393	OTU_97.10394	0.905
OTU_97.10117	OTU_97.10119	0.904
OTU_97.10284	OTU_97.10288	0.904
OTU_97.10015	OTU_97.10052	0.903
OTU_97.10047	OTU_97.1020	0.903
OTU_97.10273	OTU_97.10274	0.903
OTU_97.10347	OTU_97.10350	0.902
OTU_97.10187	OTU_97.10355	0.902
OTU_97.10216	OTU_97.10408	0.902
OTU_97.10169	OTU_97.10170	0.901
OTU_97.10096	OTU_97.10415	0.901
OTU_97.1018	OTU_97.10180	0.9
OTU_97.10287	OTU_97.10289	0.9
OTU_97.10054	OTU_97.10055	0.899
OTU_97.1007	OTU_97.10071	0.899
OTU_97.10275	OTU_97.10276	0.899
OTU_97.10169	OTU_97.1017	0.897
OTU_97.10345	OTU_97.10354	0.897
OTU_97.10184	OTU_97.10355	0.897
OTU_97.10011	OTU_97.10012	0.896
OTU_97.10311	OTU_97.10363	0.896
OTU_97.10024	OTU_97.10026	0.895
OTU_97.10449	OTU_97.1045	0.895
OTU_97.10168	OTU_97.1017	0.894
OTU_97.10214	OTU_97.10272	0.894
OTU_97.10250	OTU_97.10258	0.893
OTU_97.10214	OTU_97.10269	0.893
OTU_97.10214	OTU_97.10270	0.893
OTU_97.10215	OTU_97.1041	0.893
OTU_97.10214	OTU_97.10268	0.891
OTU_97.10214	OTU_97.1027	0.891
OTU_97.10029	OTU_97.1003	0.89
OTU_97.10169	OTU_97.10176	0.89
OTU_97.10086	OTU_97.10320	0.89
OTU_97.10214	OTU_97.10342	0.89
OTU_97.10361	OTU_97.10363	0.89
