ModelName 	ObjFuntionSpeciesA 	ObjFunctionSpeceisB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo
A_1008452_3XA_1035195_3 	A_1008452_3 	A_1035195_3 	12.7338219871 	111.437520772 	3.59922239467 	107.189399143
A_1008452_3XA_887901_3 	A_1008452_3 	A_887901_3 	3.11644225004 	27.62362733 	3.59922239467 	27.62362733
A_1035187_4XA_1076135_3 	A_1035187_4 	A_1076135_3 	12.0440906163 	186.716429519 	3.62233176535 	187.733921963
A_1035187_4XA_1235797_3 	A_1035187_4 	A_1235797_3 	11.6489357565 	18.0872300177 	3.62233176535 	22.0694443632
A_1035187_4XA_879304_3 	A_1035187_4 	A_879304_3 	3.62233176535 	1.03031545109e-25 	3.62233176535 	2.3925429573
A_1035187_4XA_997829_3 	A_1035187_4 	A_997829_3 	2.76154130467 	49.13939293 	3.62233176535 	49.1425326615
A_1035197_3XA_1035187_4 	A_1035197_3 	A_1035187_4 	60.0123050059 	3.03256847168 	60.019681731 	3.62233176535
A_1035197_3XA_1076135_3 	A_1035197_3 	A_1076135_3 	60.019681731 	187.501427733 	60.019681731 	187.733921963
A_1035197_3XA_1077975_4 	A_1035197_3 	A_1077975_4 	60.019681731 	127.837417726 	60.019681731 	128.148389783
A_1035197_3XA_1097667_3 	A_1035197_3 	A_1097667_3 	59.4268971865 	139.908035484 	60.019681731 	140.768548444
A_1035197_3XA_267747_3 	A_1035197_3 	A_267747_3 	60.019681731 	153.081235407 	60.019681731 	154.353403393
A_1035197_3XA_428125_8 	A_1035197_3 	A_428125_8 	60.0139190769 	1.80531425391 	60.019681731 	2.38869688949
A_1035197_3XA_620833_3 	A_1035197_3 	A_620833_3 	23.2978501742 	122.112963776 	60.019681731 	117.271730005
A_1035197_3XA_699246_3 	A_1035197_3 	A_699246_3 	60.0129719659 	0.625794386855 	60.019681731 	1.22331770253
A_1073372_3XA_645127_4 	A_1073372_3 	A_645127_4 	11.0340058784 	26.7201956058 	2.39485497698 	23.8832932274
A_1077975_4XA_1035187_4 	A_1077975_4 	A_1035187_4 	130.057520169 	11.5834070747 	128.148389783 	3.62233176535
A_1077975_4XA_1035195_3 	A_1077975_4 	A_1035195_3 	125.062662306 	100.259439926 	128.148389783 	107.189399143
A_1077975_4XA_1076135_3 	A_1077975_4 	A_1076135_3 	129.755388968 	171.730199085 	128.148389783 	187.733921963
A_1077975_4XA_1105030_3 	A_1077975_4 	A_1105030_3 	130.057520169 	26.1286193949 	128.148389783 	19.877492208
A_1077975_4XA_267747_3 	A_1077975_4 	A_267747_3 	129.384287272 	117.871580489 	128.148389783 	154.353403393
A_1077975_4XA_457394_3 	A_1077975_4 	A_457394_3 	118.570566008 	71.9332260583 	128.148389783 	17.8136687039
A_1077975_4XA_596320_3 	A_1077975_4 	A_596320_3 	117.490434057 	91.5796617865 	128.148389783 	97.6127807015
A_1077975_4XA_699246_3 	A_1077975_4 	A_699246_3 	124.052275401 	11.8196182794 	128.148389783 	1.22331770253
A_1077975_4XA_871541_3 	A_1077975_4 	A_871541_3 	109.408387446 	93.2663609983 	128.148389783 	95.5096417611
A_1077975_4XA_997830_4 	A_1077975_4 	A_997830_4 	130.057520169 	11.8829754465 	128.148389783 	2.41581420921
A_1077975_4XA_997894_4 	A_1077975_4 	A_997894_4 	134.505499939 	50.0897063914 	128.148389783 	43.0367913625
A_1095735_3XA_562973_4 	A_1095735_3 	A_562973_4 	14.6987420072 	109.613632603 	2.41488782995 	107.85272389
A_1095740_3XA_365659_3 	A_1095740_3 	A_365659_3 	3.62372138824 	0.0 	2.41581425883 	3.5915994704
A_1095740_3XA_762966_3_model 	A_1095740_3 	A_762966_3_model 	15.1441145988 	48.830541889 	2.41581425883 	30.6111346383
A_1095740_3XA_762968_3 	A_1095740_3 	A_762968_3 	2.9350867835 	70.5835578813 	2.41581425883 	70.6057106106
A_1095742_3XA_1105030_3 	A_1095742_3 	A_1105030_3 	122.695387798 	24.7082598662 	113.518232184 	19.877492208
A_1095745_3XA_1160721_7 	A_1095745_3 	A_1160721_7 	164.565030742 	18.3213882321 	152.237658433 	9.4465812583
A_1095745_3XA_1227268_3 	A_1095745_3 	A_1227268_3 	166.395656025 	75.7959370468 	152.237658433 	86.5823178198
A_1095745_3XA_267747_3 	A_1095745_3 	A_267747_3 	169.790199995 	78.7619371321 	152.237658433 	154.353403393
A_1095745_3XA_562981_3 	A_1095745_3 	A_562981_3 	183.379189291 	17.5009454584 	152.237658433 	14.5931177728
A_1095745_3XA_862512_3 	A_1095745_3 	A_862512_3 	188.744267814 	33.8273572223 	152.237658433 	26.1459817409
A_1095752_3XA_862512_3 	A_1095752_3 	A_862512_3 	54.2139513324 	25.627656916 	52.218508655 	26.1459817409
A_1097667_3XA_1035187_4 	A_1097667_3 	A_1035187_4 	155.395133658 	7.79803054471 	140.768548444 	3.62233176535
A_1097667_3XA_1076135_3 	A_1097667_3 	A_1076135_3 	153.895971341 	168.218524061 	140.768548444 	187.733921963
A_1097667_3XA_1077975_4 	A_1097667_3 	A_1077975_4 	150.63552371 	104.566437257 	140.768548444 	128.148389783
A_1097667_3XA_267747_3 	A_1097667_3 	A_267747_3 	159.097780211 	122.566975597 	140.768548444 	154.353403393
A_1097667_3XA_428125_8 	A_1097667_3 	A_428125_8 	139.646856608 	6.17725480897 	140.768548444 	2.38869688949
A_1097667_3XA_699246_3 	A_1097667_3 	A_699246_3 	144.939499755 	4.96593886347 	140.768548444 	1.22331770253
A_1105029_3XA_267747_3 	A_1105029_3 	A_267747_3 	19.1553802749 	160.809531701 	19.8774294792 	154.353403393
A_1105030_3XA_1105030_3 	A_1105030_3 	A_1105030_3 	14.4589845645 	11.7440246861 	19.877492208 	19.877492208
A_1105030_3XA_457394_3 	A_1105030_3 	A_457394_3 	26.132063846 	17.8136687039 	19.877492208 	17.8136687039
A_1105030_3XA_553177_6 	A_1105030_3 	A_553177_6 	15.6234396745 	72.9588452251 	19.877492208 	27.8995483491
A_1105030_3XA_553178_3 	A_1105030_3 	A_553178_3 	13.4673149977 	53.0965492905 	19.877492208 	14.5910863199
A_1105030_3XA_596320_3 	A_1105030_3 	A_596320_3 	21.9168080485 	122.863631436 	19.877492208 	97.6127807015
A_1105030_3XA_796942_3 	A_1105030_3 	A_796942_3 	22.784853499 	8.4438595255 	19.877492208 	8.34351810845
A_1105030_3XA_866778_4 	A_1105030_3 	A_866778_4 	18.4735636319 	85.192936518 	19.877492208 	62.2460612132
A_1105030_3XA_997894_4 	A_1105030_3 	A_997894_4 	28.858077277 	23.7273208264 	19.877492208 	43.0367913625
A_1105031_3_modelXA_1125778_3 	A_1105031_3_model 	A_1125778_3 	5.64388692925 	35.3552394999 	15.2857115578 	24.7246638119
A_1118055_3XA_562973_4 	A_1118055_3 	A_562973_4 	30.9330099436 	105.060962704 	19.6083269215 	107.85272389
A_1121877_3XA_1415765_3 	A_1121877_3 	A_1415765_3 	74.2568747878 	1.84041906895 	64.6822823126 	2.39948159421
A_1125724_3XA_1203573_3 	A_1125724_3 	A_1203573_3 	-1.37577341871e-27 	30.6631641159 	20.863353896 	25.3374074362
A_1160721_7XA_1160721_7 	A_1160721_7 	A_1160721_7 	-5.04870979341e-29 	9.4465812583 	9.4465812583 	9.4465812583
A_1197728_3XA_1077975_4 	A_1197728_3 	A_1077975_4 	63.69184768 	127.922965933 	63.69184768 	128.148389783
A_1197728_3XA_1105030_3 	A_1197728_3 	A_1105030_3 	63.6905915761 	19.3349984115 	63.69184768 	19.877492208
A_1197728_3XA_1203573_3 	A_1197728_3 	A_1203573_3 	63.6905915761 	24.6093264767 	63.69184768 	25.3374074362
A_1197728_3XA_1235815_4 	A_1197728_3 	A_1235815_4 	63.2230970085 	12.0268558392 	63.69184768 	46.3929172715
A_1197728_3XA_1332188_3 	A_1197728_3 	A_1332188_3 	63.6905915761 	27.5260709064 	63.69184768 	36.8896643112
A_1197728_3XA_1400053_5 	A_1197728_3 	A_1400053_5 	63.6905915761 	51.1765353039 	63.69184768 	54.3494132372
A_1197728_3XA_267747_3 	A_1197728_3 	A_267747_3 	63.6905915761 	153.153465286 	63.69184768 	154.353403393
A_1197728_3XA_411486_3 	A_1197728_3 	A_411486_3 	63.6905915761 	12.2673644478 	63.69184768 	13.1434750176
A_1197728_3XA_457394_3 	A_1197728_3 	A_457394_3 	63.69184768 	17.8136687039 	63.69184768 	17.8136687039
A_1197728_3XA_552395_3_model 	A_1197728_3 	A_552395_3_model 	63.6905915761 	17.5244478895 	63.69184768 	16.1579856101
A_1197728_3XA_596320_3 	A_1197728_3 	A_596320_3 	42.3765157591 	99.9293961593 	63.69184768 	97.6127807015
A_1197728_3XA_679201_3 	A_1197728_3 	A_679201_3 	63.6905915761 	123.399012462 	63.69184768 	126.132923418
A_1197728_3XA_713605_5 	A_1197728_3 	A_713605_5 	63.6905915761 	3.3212839176 	63.69184768 	3.87438055954
A_1197728_3XA_857291_3 	A_1197728_3 	A_857291_3 	63.2230970085 	26.766959264 	63.69184768 	63.7648148707
A_1197728_3XA_871541_3 	A_1197728_3 	A_871541_3 	63.6905915761 	97.5054939269 	63.69184768 	95.5096417611
A_1197728_3XA_888056_4 	A_1197728_3 	A_888056_4 	63.69184768 	116.122814092 	63.69184768 	115.248285445
A_1197728_3XA_925409_4 	A_1197728_3 	A_925409_4 	34.2287725353 	90.0870500303 	63.69184768 	90.0870500303
A_1197728_3XA_95617_3 	A_1197728_3 	A_95617_3 	63.69184768 	108.305280191 	63.69184768 	108.580864297
A_1197728_3XA_997894_4 	A_1197728_3 	A_997894_4 	63.6905915761 	42.5113328962 	63.69184768 	43.0367913625
A_1203556_3XA_1118055_3 	A_1203556_3 	A_1118055_3 	18.1165545727 	19.116957177 	19.8774037601 	19.6083269215
