id	name	Complete	Complete/10	Complete/100	Variant3	Variant4	Variant5	Variant6	Variant7	Variant8	Variant9	Variant10
EX_cpd00001_e0[u]	H2O	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00003_e0[u]	NAD	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00006_e0[u]	NADP	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00007_e0[u]	O2	-100	-10	-1	-10	-10	-10	-10	0	0	0	0
EX_cpd00009_e0[u]	Phosphate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00010_e0[u]	CoA	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00011_e0[u]	CO2	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00012_e0[u]	PPi	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00013_e0[u]	NH3	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00015_e0[u]	FAD	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00018_e0[u]	AMP	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00020_e0[u]	Pyruvate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00023_e0[u]	L-Glutamate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00024_e0[u]	2-Oxoglutarate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00027_e0[u]	D-Glucose	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00028_e0[u]	Heme	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00029_e0[u]	Acetate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00030_e0[u]	Mn2+	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00033_e0[u]	Glycine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00034_e0[u]	Zn2+	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00035_e0[u]	L-Alanine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00036_e0[u]	Succinate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00038_e0[u]	GTP	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00039_e0[u]	L-Lysine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00040_e0[u]	Glyoxalate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00041_e0[u]	L-Aspartate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00042_e0[u]	GSH	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00046_e0[u]	CMP	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00047_e0[u]	Formate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00048_e0[u]	Sulfate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00051_e0[u]	L-Arginine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00053_e0[u]	L-Glutamine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00054_e0[u]	L-Serine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00056_e0[u]	TPP	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00058_e0[u]	Cu2+	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00059_e0[u]	L-Ascorbate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00060_e0[u]	L-Methionine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00061_e0[u]	Phosphoenolpyruvate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00062_e0[u]	UTP	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00063_e0[u]	Ca2+	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00064_e0[u]	Ornithine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00065_e0[u]	L-Tryptophan	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00066_e0[u]	L-Phenylalanine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00067_e0[u]	H+	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00069_e0[u]	L-Tyrosine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00072_e0[u]	D-fructose-6-phosphate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00073_e0[u]	Urea	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00075_e0[u]	Nitrite	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00076_e0[u]	Sucrose	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00079_e0[u]	D-glucose-6-phosphate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00080_e0[u]	Glycerol-3-phosphate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00082_e0[u]	D-Fructose	-100	-10	-1	-10	-10	-20	-20	-10	-10	-20	-20
EX_cpd00084_e0[u]	L-Cysteine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00087_e0[u]	Tetrahydrofolate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00089_e0[u]	Glucose-1-phosphate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00091_e0[u]	UMP	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00092_e0[u]	Uracil	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00094_e0[u]	2-Oxobutyrate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00098_e0[u]	Choline	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00099_e0[u]	Cl-	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00100_e0[u]	Glycerol	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00104_e0[u]	BIOT	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00105_e0[u]	D-Ribose	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00106_e0[u]	Fumarate	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
EX_cpd00107_e0[u]	L-Leucine	-100	-10	-1	-10	-10	-10	-10	-10	-10	-10	-10
