Model 	GenomeIDSpeciesA 	GenomeIDSpeciesB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo 	PercentChangeRawA 	PercentChangeRawB 	TypeOfInteraction
1008452.3X1035195.3 	1008452.3 	1035195.3 	12.7338219871 	111.437520772 	3.59922239467 	107.189399143 	2.53793697382 	0.0396319194152 	Commensalism
1008452.3X887901.3 	1008452.3 	887901.3 	3.11644225004 	27.62362733 	3.59922239467 	27.62362733 	-0.134134568996 	0.0 	Amensalism
1035187.4X1076135.3 	1035187.4 	1076135.3 	12.0440906163 	186.716429519 	3.62233176535 	187.733921963 	2.32495513843 	-0.00541986463267 	Commensalism
1035187.4X1235797.3 	1035187.4 	1235797.3 	11.6489357565 	18.0872300177 	3.62233176535 	22.0694443632 	2.21586660502 	-0.180440172392 	Parasitism
1035187.4X879304.3 	1035187.4 	879304.3 	3.62233176535 	1.03031545109e-25 	3.62233176535 	2.3925429573 	0.0 	-1.0 	Amensalism
1035187.4X997829.3 	1035187.4 	997829.3 	2.76154130467 	49.13939293 	3.62233176535 	49.1425326615 	-0.237634351694 	-6.38903070305e-05 	Amensalism
1035197.3X1035187.4 	1035197.3 	1035187.4 	60.0123050059 	3.03256847168 	60.019681731 	3.62233176535 	-0.000122905101914 	-0.162813163419 	Amensalism
1035197.3X1076135.3 	1035197.3 	1076135.3 	60.019681731 	187.501427733 	60.019681731 	187.733921963 	0.0 	-0.00123842418871 	Neutralism
1035197.3X1077975.4 	1035197.3 	1077975.4 	60.019681731 	127.837417726 	60.019681731 	128.148389783 	0.0 	-0.00242665598473 	Neutralism
1035197.3X1097667.3 	1035197.3 	1097667.3 	59.4268971865 	139.908035484 	60.019681731 	140.768548444 	-0.00987650263053 	-0.00611296322589 	Neutralism
1035197.3X267747.3 	1035197.3 	267747.3 	60.019681731 	153.081235407 	60.019681731 	154.353403393 	0.0 	-0.00824191730169 	Neutralism
