Row number 	Query_Otu_ID 	Species_ID 	Percent_ID
0 	OTU_97.1 	1381118.3 	95.98
1 	OTU_97.10 	457416.3 	19.10
2 	OTU_97.100 	706434.3 	99.80
3 	OTU_97.1000 	887898.3 	93.33
4 	OTU_97.10000 	267747.3 	98.57
5 	OTU_97.10001 	575604.3 	98.99
6 	OTU_97.10002 	585394.18 	92.28
7 	OTU_97.10003 	267747.3 	98.58
8 	OTU_97.10004 	1414719.3 	94.77
9 	OTU_97.10008 	457412.4 	98.53
10 	OTU_97.10009 	553220.3 	97.98
11 	OTU_97.1001 	548479.6 	96.04
12 	OTU_97.10010 	1514668.3 	85.97
13 	OTU_97.10011 	1095745.3 	98.98
14 	OTU_97.10012 	562981.3 	46.23
15 	OTU_97.10015 	267747.3 	99.38
16 	OTU_97.10016 	1076135.3 	23.83
17 	OTU_97.10017 	267747.3 	98.13
18 	OTU_97.10018 	1476577.3 	97.68
19 	OTU_97.10019 	754027.3 	85.50
20 	OTU_97.1002 	1008452.3 	98.41
21 	OTU_97.10020 	887901.3 	97.80
22 	OTU_97.10021 	267747.3 	99.79
23 	OTU_97.10022 	888810.3 	98.16
24 	OTU_97.10023 	1077975.4 	92.36
25 	OTU_97.10024 	883096.3 	88.47
26 	OTU_97.10025 	871541.3 	98.22
27 	OTU_97.10026 	596320.3 	97.80
28 	OTU_97.10027 	1035195.3 	99.25
29 	OTU_97.10028 	762948.4 	99.17
30 	OTU_97.10029 	411485.10 	98.16
31 	OTU_97.1003 	1095735.3 	98.60
32 	OTU_97.10031 	1203573.3 	98.57
33 	OTU_97.10032 	267747.3 	99.57
34 	OTU_97.10033 	1073372.3 	98.35
35 	OTU_97.10034 	411483.3 	33.20
36 	OTU_97.10035 	585544.3 	96.49
37 	OTU_97.10036 	997829.3 	27.42
38 	OTU_97.10037 	1226322.3 	22.13
39 	OTU_97.10039 	553174.6 	99.03
40 	OTU_97.10040 	172045.12 	98.53
41 	OTU_97.10041 	267747.3 	99.15
42 	OTU_97.10044 	649742.3 	26.80
43 	OTU_97.10045 	649760.3 	34.70
44 	OTU_97.10046 	267747.3 	98.98
45 	OTU_97.10047 	1203603.3 	95.25
46 	OTU_97.10048 	411483.3 	33.13
47 	OTU_97.10049 	469609.3 	98.43
48 	OTU_97.1005 	313596.4 	79.69
49 	OTU_97.10050 	1203603.3 	98.22
50 	OTU_97.10051 	267747.3 	99.19
51 	OTU_97.10052 	1227268.3 	15.91
52 	OTU_97.10053 	879304.3 	98.38
53 	OTU_97.10054 	553206.4 	99.18
54 	OTU_97.10055 	748671.3 	99.21
55 	OTU_97.10056 	862512.3 	98.77
56 	OTU_97.10057 	762966.3 	99.00
57 	OTU_97.10058 	1160721.7 	97.95
58 	OTU_97.10059 	1160721.7 	92.59
59 	OTU_97.1006 	862512.3 	98.97
60 	OTU_97.10060 	1226322.3 	23.15
61 	OTU_97.10061 	1105030.3 	96.50
62 	OTU_97.10062 	796942.3 	97.81
63 	OTU_97.10063 	553175.3 	97.83
64 	OTU_97.10064 	1035197.3 	94.56
65 	OTU_97.10066 	267747.3 	98.57
66 	OTU_97.10067 	620833.3 	98.74
67 	OTU_97.1007 	1095742.3 	97.36
68 	OTU_97.10071 	1105030.3 	97.95
69 	OTU_97.10073 	1321775.3 	97.15
70 	OTU_97.10074 	1476577.3 	97.68
71 	OTU_97.10079 	679199.3 	63.91
72 	OTU_97.1008 	1316937.3 	13.80
73 	OTU_97.10080 	596330.3 	99.60
74 	OTU_97.10081 	904306.3 	99.34
75 	OTU_97.10083 	585394.18 	95.99
76 	OTU_97.10084 	997890.3 	99.22
77 	OTU_97.10085 	267747.3 	99.79
78 	OTU_97.10086 	1476577.3 	86.36
79 	OTU_97.10088 	1227272.3 	96.04
80 	OTU_97.10089 	445970.5 	99.59
81 	OTU_97.10090 	553191.3 	99.38
82 	OTU_97.10094 	267747.3 	98.57
83 	OTU_97.10096 	267747.3 	99.15
84 	OTU_97.101 	1125724.3 	98.39
85 	OTU_97.1010 	742816.3 	98.41
86 	OTU_97.10101 	435590.9 	98.60
87 	OTU_97.10110 	1035195.3 	99.50
88 	OTU_97.10113 	1197728.3 	97.85
89 	OTU_97.10116 	95617.3 	96.33
90 	OTU_97.10117 	620833.3 	98.13
91 	OTU_97.10118 	479436.6 	95.90
92 	OTU_97.10119 	388919.9 	95.28
93 	OTU_97.1012 	665956.3 	85.66
94 	OTU_97.10120 	411902.9 	95.76
95 	OTU_97.10121 	411485.10 	97.33
96 	OTU_97.10125 	680646.3 	100.00
97 	OTU_97.10127 	267747.3 	99.15
98 	OTU_97.1013 	478801.5 	99.80
99 	OTU_97.10130 	28037.98 	63.13
100 	OTU_97.10135 	267747.3 	99.36
101 	OTU_97.10146 	411483.3 	32.92
102 	OTU_97.10148 	1203556.3 	98.35
103 	OTU_97.10152 	267747.3 	97.40
104 	OTU_97.10153 	196627.13 	92.39
105 	OTU_97.10154 	267747.3 	98.37
106 	OTU_97.10155 	1203564.3 	99.35
107 	OTU_97.10156 	944564.4 	99.80
108 	OTU_97.10157 	883098.3 	88.08
109 	OTU_97.10158 	267747.3 	98.99
110 	OTU_97.10163 	1539298.3 	99.00
111 	OTU_97.10164 	575604.3 	98.99
112 	OTU_97.10165 	592026.3 	8.70
113 	OTU_97.10166 	1035197.3 	96.75
114 	OTU_97.10167 	28037.97 	98.18
115 	OTU_97.10168 	592010.4 	96.17
116 	OTU_97.10169 	1227268.3 	16.15
117 	OTU_97.1017 	944560.4 	96.78
118 	OTU_97.10170 	1203556.3 	98.76
119 	OTU_97.10171 	762963.3 	91.50
120 	OTU_97.10172 	523794.5 	90.63
121 	OTU_97.10173 	267747.3 	97.75
122 	OTU_97.10174 	267747.3 	95.70
123 	OTU_97.10175 	267747.3 	94.69
124 	OTU_97.10176 	997353.4 	99.19
125 	OTU_97.10177 	1304880.3 	82.52
126 	OTU_97.10178 	537013.3 	89.11
127 	OTU_97.10179 	1234871.3 	33.60
128 	OTU_97.1018 	1519439.3 	92.90
129 	OTU_97.10180 	267747.3 	98.51
130 	OTU_97.10181 	927666.3 	98.57
131 	OTU_97.10182 	1203573.3 	97.17
132 	OTU_97.10183 	457416.3 	17.71
133 	OTU_97.10184 	626369.3 	99.19
134 	OTU_97.10187 	447454.3 	3.61
135 	OTU_97.10188 	904296.3 	85.71
136 	OTU_97.10189 	745776.4 	90.64
137 	OTU_97.1019 	1203566.3 	99.79
138 	OTU_97.10190 	1035197.3 	97.97
139 	OTU_97.10191 	663917.3 	97.54
140 	OTU_97.10192 	1459803.3 	87.74
141 	OTU_97.10193 	267747.3 	93.41
142 	OTU_97.10196 	1035187.4 	26.01
143 	OTU_97.10197 	997829.3 	27.29
144 	OTU_97.10198 	28037.92 	98.18
145 	OTU_97.10199 	1235797.3 	93.14
146 	OTU_97.102 	1095740.3 	98.59
147 	OTU_97.1020 	340101.3 	98.13
148 	OTU_97.10200 	762968.3 	23.42
149 	OTU_97.10201 	575593.3 	75.15
150 	OTU_97.10202 	879304.3 	99.39
151 	OTU_97.10203 	411471.5 	88.63
152 	OTU_97.10204 	1203556.3 	97.74
153 	OTU_97.10205 	1118055.3 	91.98
154 	OTU_97.10206 	562973.4 	46.98
155 	OTU_97.10208 	267747.3 	99.58
156 	OTU_97.1021 	537011.5 	27.38
157 	OTU_97.10210 	1149865.7 	94.26
158 	OTU_97.10211 	944560.4 	95.77
159 	OTU_97.10212 	1203556.3 	98.56
160 	OTU_97.10213 	635013.3 	82.75
161 	OTU_97.10214 	1197728.3 	99.22
162 	OTU_97.10215 	1332188.3 	92.21
163 	OTU_97.10216 	871541.3 	95.49
164 	OTU_97.10218 	1095752.3 	98.44
165 	OTU_97.10219 	1321817.3 	98.17
166 	OTU_97.10221 	1073372.3 	98.80
167 	OTU_97.10223 	267747.3 	99.57
168 	OTU_97.10224 	862512.3 	98.57
169 	OTU_97.1023 	596320.3 	93.72
170 	OTU_97.10230 	1115803.3 	98.22
171 	OTU_97.10233 	1218103.5 	89.13
172 	OTU_97.10234 	267747.3 	92.95
173 	OTU_97.10235 	862965.3 	97.27
174 	OTU_97.10239 	680646.3 	93.76
175 	OTU_97.1024 	1519439.3 	97.20
176 	OTU_97.10240 	267747.3 	99.38
177 	OTU_97.10241 	1105030.3 	98.97
178 	OTU_97.10244 	936572.3 	95.61
179 	OTU_97.10245 	999421.3 	97.88
180 	OTU_97.10246 	1203559.3 	99.57
181 	OTU_97.10247 	1296619.3 	97.68
182 	OTU_97.10249 	267747.3 	95.21
183 	OTU_97.10250 	620833.3 	98.33
184 	OTU_97.10251 	267747.3 	98.97
185 	OTU_97.10252 	1479623.3 	93.23
186 	OTU_97.10253 	1097667.3 	86.04
187 	OTU_97.10254 	1105029.3 	97.61
188 	OTU_97.10255 	713605.5 	42.08
189 	OTU_97.10256 	176279.9 	98.39
190 	OTU_97.10257 	267747.3 	98.97
191 	OTU_97.10258 	553206.4 	97.34
192 	OTU_97.10268 	857291.3 	97.28
